"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.2.5K.osd0.dstat.log 5",,,,"Date:","05 May 2017 16:08:53 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
0.010,0.0,99.980,0.010,0.0,0.0,0.0,8192.0,3677.600,8410.600,0.0,0.0,165.0,170.600,0.0,0.0,0.0,1998192640.0,173121536.0,21582147584.0,1.45026732032e+11,0.0,0.0,0.0,8192.0,165.0,170.600,0.010,0.0,99.980,0.010,0.0,0.0,1494018683.618
0.015,0.0,99.985,0.0,0.0,0.0,0.0,7372.800,4757.800,8865.600,0.0,0.0,169.200,176.600,0.0,0.0,0.0,1998180352.0,173133824.0,21582147584.0,1.45026732032e+11,0.0,0.0,0.0,7372.800,169.200,176.600,0.010,0.0,99.990,0.0,0.0,0.0,1494018688.618
0.005,0.005,99.990,0.0,0.0,0.0,0.0,3276.800,7468.0,10539.0,0.0,0.0,240.400,227.200,0.0,0.0,0.0,1998045184.0,173137920.0,21582151680.0,1.45026859008e+11,0.0,0.0,0.0,3276.800,240.400,227.200,0.005,0.005,99.990,0.0,0.0,0.0,1494018693.618
0.020,0.005,99.975,0.0,0.0,0.0,0.0,7372.800,8085.400,11387.600,0.0,0.0,255.0,260.200,0.0,0.0,0.400,1997631488.0,173154304.0,21582143488.0,1.45027264512e+11,0.0,0.0,0.0,7372.800,255.0,260.200,0.020,0.005,99.975,0.0,0.0,0.0,1494018698.618
0.010,0.005,99.985,0.0,0.0,0.0,0.0,0.0,4543.200,8582.600,0.0,0.0,177.800,186.600,0.0,0.0,0.0,2004152320.0,173154304.0,21582151680.0,1.45020735488e+11,0.0,0.0,0.0,0.0,177.800,186.600,0.010,0.005,99.985,0.0,0.0,0.0,1494018703.618
0.010,0.0,99.990,0.0,0.0,0.0,0.0,9011.200,2453.800,7333.600,0.0,0.0,128.0,136.800,0.0,0.0,0.0,2004140032.0,173166592.0,21582151680.0,1.45020735488e+11,0.0,0.0,0.0,9011.200,128.0,136.800,0.010,0.005,99.985,0.0,0.0,0.0,1494018708.618
0.010,0.005,99.985,0.0,0.0,0.0,0.0,4096.0,5386.800,10238.600,0.0,0.0,204.600,218.200,0.0,0.0,0.0,2008322048.0,173174784.0,21582155776.0,1.45016541184e+11,0.0,0.0,0.0,4096.0,204.600,218.200,0.010,0.0,99.990,0.0,0.0,0.0,1494018713.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,10649.600,5940.600,10472.0,0.0,0.0,219.800,240.0,0.0,0.0,0.400,2008809472.0,173182976.0,21582155776.0,1.45016045568e+11,0.0,0.0,0.0,10649.600,219.800,240.0,0.020,0.010,99.970,0.0,0.0,0.0,1494018718.618
0.010,0.0,99.990,0.0,0.0,0.0,0.0,7372.800,4279.600,8837.400,0.0,0.0,179.600,184.800,0.0,0.0,0.0,2017267712.0,173195264.0,21582155776.0,1.4500757504e+11,0.0,0.0,0.0,7372.800,179.600,184.800,0.010,0.005,99.985,0.0,0.0,0.0,1494018723.618
0.170,1.080,98.530,0.220,0.0,0.0,1447526.400,33587.200,8447.400,12272.200,0.0,0.0,869.200,1024.0,0.600,0.0,13.400,1447247872.0,1978368.0,286396416.0,1.67044571136e+11,0.0,0.0,1447526.400,33587.200,869.200,1024.0,0.175,1.075,98.530,0.220,0.0,0.0,1494018728.618
0.015,0.0,99.985,0.0,0.0,0.0,0.0,4915.200,4226.400,8241.800,0.0,0.0,182.400,181.200,0.0,0.0,0.0,1454587904.0,1986560.0,286396416.0,1.67037222912e+11,0.0,0.0,0.0,4915.200,182.400,181.200,0.010,0.0,99.990,0.0,0.0,0.0,1494018733.618
0.015,0.005,99.980,0.0,0.0,0.0,0.0,2457.600,4302.600,9119.800,0.0,0.0,184.400,205.200,0.0,0.0,0.400,1453826048.0,1994752.0,286396416.0,1.67037976576e+11,0.0,0.0,0.0,2457.600,184.400,205.200,0.015,0.010,99.975,0.0,0.0,0.0,1494018738.618
0.010,0.005,99.985,0.0,0.0,0.0,0.0,4915.200,3253.600,8055.0,0.0,0.0,154.800,162.800,0.0,0.0,0.0,1457934336.0,2002944.0,286396416.0,1.67033860096e+11,0.0,0.0,0.0,4915.200,154.800,162.800,0.010,0.0,99.990,0.0,0.0,0.0,1494018743.618
0.015,0.010,99.975,0.0,0.0,0.0,0.0,5734.400,5623.0,10129.600,0.0,0.0,196.200,219.0,0.0,0.0,0.0,1457897472.0,2019328.0,286408704.0,1.67033868288e+11,0.0,0.0,0.0,5734.400,196.200,219.0,0.015,0.010,99.975,0.0,0.0,0.0,1494018748.618
0.015,0.250,97.944,1.786,0.0,0.005,69808947.200,5734.400,5343.0,9058.400,0.0,0.0,1300.200,1264.0,0.0,1.600,0.0,1810763776.0,2027520.0,637550592.0,1.66329851904e+11,0.0,0.0,70071091.200,5734.400,1303.600,1267.200,0.015,0.255,97.924,1.801,0.0,0.005,1494018753.618
0.265,0.490,97.098,2.127,0.0,0.020,144518348.800,5734.400,30462.600,24451758.200,0.0,0.0,2899.400,2506.200,0.200,0.200,0.400,2420330496.0,2035712.0,1358045184.0,1.649997824e+11,0.0,0.0,144256204.800,5734.400,2896.0,2503.0,0.270,0.485,97.113,2.112,0.0,0.020,1494018758.618
0.045,0.105,99.800,0.050,0.0,0.0,22560768.0,5734.400,23631.200,23630984.600,0.0,0.0,974.800,603.200,0.0,0.0,0.0,2424975360.0,2043904.0,1470849024.0,1.64882325504e+11,0.0,0.0,22560768.0,5734.400,974.800,603.200,0.040,0.110,99.800,0.050,0.0,0.0,1494018763.618
0.030,0.085,99.805,0.080,0.0,0.0,22560768.0,7372.800,23535.400,23574542.0,0.0,0.0,820.400,570.0,0.0,0.0,0.0,2425012224.0,2060288.0,1583652864.0,1.64769468416e+11,0.0,0.0,22560768.0,7372.800,820.400,570.0,0.035,0.080,99.805,0.080,0.0,0.0,1494018768.618
0.050,0.180,99.600,0.170,0.0,0.0,45146931.200,3276.800,40792.0,47203477.600,0.0,0.0,1539.800,939.800,0.0,0.0,0.200,2427232256.0,2068480.0,1808588800.0,1.64542304256e+11,0.0,0.0,45146931.200,3276.800,1539.800,939.800,0.050,0.180,99.600,0.170,0.0,0.0,1494018773.618
0.070,0.195,99.595,0.140,0.0,0.0,45121536.0,10649.600,36265.0,35401226.600,0.0,0.0,1115.200,961.400,0.0,0.200,0.400,2481979392.0,2084864.0,2034393088.0,1.64261736448e+11,0.0,0.0,45121536.0,10649.600,1115.200,961.400,0.065,0.195,99.600,0.140,0.0,0.0,1494018778.618
0.060,0.175,99.595,0.170,0.0,0.0,45129728.0,8192.0,35576.800,35377511.400,0.0,0.0,1240.800,996.0,0.400,0.200,0.200,2543312896.0,2093056.0,2260647936.0,1.63974139904e+11,0.0,0.0,45129728.0,8192.0,1240.800,996.0,0.065,0.175,99.590,0.170,0.0,0.0,1494018783.618
0.055,0.165,99.680,0.095,0.0,0.005,33844428.800,2457.600,48267.800,58966814.0,0.0,0.0,1330.800,820.200,0.0,0.0,0.0,2429161472.0,2101248.0,2430038016.0,1.63918893056e+11,0.0,0.0,33844428.800,2457.600,1330.800,820.200,0.050,0.165,99.685,0.095,0.0,0.005,1494018788.618
0.040,0.150,99.740,0.070,0.0,0.0,23216128.0,8192.0,39016.600,47207293.400,0.0,0.0,1127.600,640.400,0.0,0.200,0.400,2322169856.0,2109440.0,2546528256.0,1.6390938624e+11,0.0,0.0,23425843.200,8192.0,1129.400,643.600,0.040,0.155,99.735,0.070,0.0,0.0,1494018793.618
0.095,0.345,99.330,0.230,0.0,0.0,84336640.0,9011.200,60557.400,70792172.0,0.0,0.0,2282.0,1636.600,0.200,0.200,0.0,2404061184.0,2125824.0,2968281088.0,1.63405725696e+11,0.0,0.0,84493926.400,9011.200,2282.600,1638.400,0.095,0.345,99.330,0.230,0.0,0.0,1494018798.618
0.045,0.140,99.730,0.085,0.0,0.0,27811840.0,0.0,18111.200,23551578.600,0.0,0.0,826.0,632.600,0.0,0.0,0.0,2430959616.0,2125824.0,3106709504.0,1.63240398848e+11,0.0,0.0,27444838.400,0.0,823.600,627.600,0.045,0.135,99.735,0.085,0.0,0.0,1494018803.618
0.075,0.355,99.395,0.175,0.0,0.0,63846809.600,9830.400,39108.0,59005405.200,0.0,0.0,2383.600,1305.800,0.600,0.0,0.0,2468175872.0,2142208.0,3426426880.0,1.62883448832e+11,0.0,0.0,64082739.200,9830.400,2385.200,1309.400,0.075,0.360,99.390,0.175,0.0,0.0,1494018808.618
0.080,0.275,99.480,0.165,0.0,0.0,66922086.400,3276.800,35438.800,58989441.400,0.0,0.0,2111.200,1327.0,0.200,0.200,0.400,2524127232.0,2150400.0,3760984064.0,1.62492932096e+11,0.0,0.0,67000729.600,3276.800,2111.400,1327.200,0.080,0.275,99.480,0.165,0.0,0.0,1494018813.618
0.040,0.165,99.730,0.065,0.0,0.0,27156480.0,10649.600,25191.600,41328462.800,0.0,0.0,1213.0,681.400,0.200,0.0,0.0,2487918592.0,2166784.0,3896340480.0,1.62393767936e+11,0.0,0.0,26841907.200,10649.600,1215.600,678.0,0.040,0.160,99.735,0.065,0.0,0.0,1494018818.618
0.070,0.325,99.320,0.280,0.0,0.005,79670476.800,0.0,29694.800,53051259.0,0.0,0.0,1903.400,1529.600,0.400,0.400,0.0,2604826624.0,2166784.0,4295004160.0,1.61878196224e+11,0.0,0.0,79932620.800,0.0,1901.600,1533.400,0.070,0.335,99.305,0.285,0.0,0.005,1494018823.618
0.060,0.260,99.515,0.155,0.0,0.010,55694131.200,9011.200,31119.800,68552506.0,0.0,0.0,1964.800,1141.600,0.0,0.0,0.0,2598408192.0,2183168.0,4573163520.0,1.61606438912e+11,0.0,0.0,55431987.200,9011.200,1966.200,1137.600,0.060,0.255,99.525,0.150,0.0,0.010,1494018828.618
0.105,0.315,99.249,0.325,0.0,0.005,98815180.800,4096.0,25400.0,37617536.600,0.0,0.0,1886.600,1822.800,0.200,0.0,0.400,2868183040.0,2191360.0,5067661312.0,1.6084215808e+11,0.0,0.0,99077324.800,4096.0,1885.400,1825.600,0.110,0.315,99.244,0.325,0.0,0.005,1494018833.618
0.065,0.235,99.565,0.130,0.0,0.005,47829811.200,7372.800,28692.200,70266507.200,0.0,0.0,2112.0,1040.600,0.0,0.0,0.0,2769862656.0,2207744.0,5306200064.0,1.60701923328e+11,0.0,0.0,47567667.200,7372.800,2109.200,1037.800,0.060,0.230,99.575,0.130,0.0,0.005,1494018838.618
0.035,0.135,99.755,0.075,0.0,0.0,33334886.400,3276.800,13739.800,35880509.400,0.0,0.0,1059.600,793.800,1.0,0.200,0.0,2767216640.0,2215936.0,5473853440.0,1.60536907776e+11,0.0,0.0,33597030.400,3276.800,1062.800,796.600,0.040,0.135,99.750,0.075,0.0,0.0,1494018843.618
0.060,0.155,99.700,0.085,0.0,0.0,34347417.600,3276.800,12748.600,35392448.0,0.0,0.0,941.800,739.800,0.200,0.0,0.0,2769289216.0,2224128.0,5644800000.0,1.60363880448e+11,0.0,0.0,34085273.600,3276.800,938.600,736.800,0.060,0.155,99.700,0.085,0.0,0.0,1494018848.618
0.060,0.230,99.575,0.130,0.0,0.005,45121536.0,8192.0,21446.400,70772677.800,0.0,0.0,1604.0,1020.400,0.400,0.0,0.400,2654851072.0,2232320.0,5870411776.0,1.60252698624e+11,0.0,0.0,45121536.0,8192.0,1604.0,1020.400,0.055,0.230,99.580,0.130,0.0,0.005,1494018853.618
0.050,0.155,99.685,0.105,0.0,0.005,45121536.0,7372.800,12890.600,35397231.0,0.0,0.0,1165.400,954.600,0.0,0.0,0.0,2710867968.0,2248704.0,6095826944.0,1.59971250176e+11,0.0,0.0,45121536.0,7372.800,1165.400,954.600,0.050,0.155,99.685,0.105,0.0,0.005,1494018858.618
0.055,0.195,99.650,0.100,0.0,0.0,47297331.200,3276.800,19634.200,58979149.400,0.0,0.0,1530.0,1021.600,0.400,0.200,0.0,2663677952.0,2248704.0,6332276736.0,1.597819904e+11,0.0,0.0,47559475.200,3276.800,1531.600,1024.600,0.055,0.195,99.650,0.100,0.0,0.0,1494018863.618
0.060,0.170,99.700,0.070,0.0,0.0,31665356.800,8192.0,35156.800,70775022.800,0.0,0.0,1451.0,774.600,0.0,0.0,0.400,2484518912.0,2265088.0,6490836992.0,1.598025728e+11,0.0,0.0,31403212.800,8192.0,1449.400,771.600,0.065,0.170,99.695,0.070,0.0,0.0,1494018868.618
0.050,0.160,99.685,0.105,0.0,0.0,33841152.0,7372.800,40035.800,70776742.400,0.0,0.0,1496.600,790.0,0.0,0.0,0.0,2314473472.0,2273280.0,6660046848.0,1.59803400192e+11,0.0,0.0,33841152.0,7372.800,1496.600,790.0,0.045,0.160,99.690,0.105,0.0,0.0,1494018873.618
0.065,0.265,99.490,0.170,0.0,0.010,56401920.0,9011.200,47422.600,94368039.600,0.0,0.0,2148.800,1150.0,0.0,0.0,0.0,2149040128.0,2289664.0,6941949952.0,1.59686914048e+11,0.0,0.0,56401920.0,9011.200,2148.800,1150.0,0.065,0.265,99.490,0.170,0.0,0.010,1494018878.618
0.015,0.090,99.870,0.025,0.0,0.0,11280384.0,0.0,19940.800,35392245.0,0.0,0.0,855.600,401.200,0.0,0.0,0.0,2035077120.0,2289664.0,6998462464.0,1.59744364544e+11,0.0,0.0,11280384.0,0.0,855.600,401.200,0.020,0.090,99.865,0.025,0.0,0.0,1494018883.618
0.080,0.210,99.600,0.110,0.0,0.0,45121536.0,11468.800,22610.800,58956368.0,0.0,0.0,1514.400,946.0,0.0,0.200,0.600,1978003456.0,2306048.0,7223832576.0,1.59576051712e+11,0.0,0.0,45121536.0,11468.800,1514.400,946.0,0.075,0.210,99.605,0.110,0.0,0.0,1494018888.618
0.045,0.185,99.680,0.085,0.0,0.005,33841152.0,4915.200,33383.200,70810289.600,0.0,0.0,1667.0,799.400,0.0,0.400,0.0,1809514496.0,2314240.0,7393275904.0,1.59575089152e+11,0.0,0.0,33841152.0,4915.200,1667.0,799.400,0.050,0.185,99.675,0.085,0.0,0.005,1494018893.618
0.065,0.260,99.525,0.145,0.0,0.005,56401920.0,11468.800,25090.200,70758283.600,0.0,0.0,2064.600,1151.200,0.400,0.0,0.0,1755308032.0,2330624.0,7675285504.0,1.59347269632e+11,0.0,0.0,56401920.0,11468.800,2064.600,1151.200,0.060,0.260,99.530,0.145,0.0,0.005,1494018898.618
0.030,0.120,99.790,0.055,0.0,0.005,22560768.0,1638.400,12826.400,28170461.200,0.0,0.0,964.800,594.800,0.200,0.0,0.0,1754046464.0,2330624.0,7787896832.0,1.59235919872e+11,0.0,0.0,22560768.0,1638.400,965.400,594.800,0.030,0.120,99.790,0.055,0.0,0.005,1494018903.618
0.035,0.060,99.865,0.040,0.0,0.0,12879462.400,6553.600,13025.600,19026518.400,0.0,0.0,541.0,428.0,0.200,0.200,0.400,1706967040.0,2347008.0,7853731840.0,1.59217147904e+11,0.0,0.0,13141606.400,6553.600,543.600,431.0,0.035,0.065,99.860,0.040,0.0,0.0,1494018908.618
0.065,0.205,99.635,0.095,0.0,0.0,43522457.600,8192.0,19126.200,58988410.200,0.0,0.0,1443.200,977.200,0.200,0.0,0.0,1643704320.0,2355200.0,8069488640.0,1.59064645632e+11,0.0,0.0,43260313.600,8192.0,1440.0,974.200,0.065,0.200,99.640,0.095,0.0,0.0,1494018913.618
0.035,0.150,99.735,0.080,0.0,0.0,30818304.0,2457.600,20784.600,58100830.200,0.0,0.0,1224.400,720.0,0.600,0.0,0.0,1554620416.0,2363392.0,8224714752.0,1.58998495232e+11,0.0,0.0,31080448.0,2457.600,1226.800,723.200,0.035,0.155,99.730,0.080,0.0,0.0,1494018918.618
0.080,0.235,99.535,0.150,0.0,0.0,59424768.0,3276.800,20758.200,48056513.400,0.0,0.0,1457.200,1177.200,0.200,0.0,0.400,1589264384.0,2371584.0,8520839168.0,1.58667718656e+11,0.0,0.0,59162624.0,3276.800,1454.800,1174.0,0.080,0.230,99.540,0.150,0.0,0.0,1494018923.618
0.055,0.180,99.645,0.120,0.0,0.0,45121536.0,8192.0,27015.0,47189493.400,0.0,0.0,1300.600,923.0,0.0,0.0,0.0,1589579776.0,2387968.0,8746926080.0,1.58441299968e+11,0.0,0.0,45121536.0,8192.0,1300.600,923.0,0.055,0.180,99.645,0.120,0.0,0.0,1494018928.618
0.060,0.175,99.660,0.100,0.0,0.005,45121536.0,3276.800,22570.200,35389460.200,0.0,0.0,1224.0,942.400,0.200,0.0,0.0,1647173632.0,2396160.0,8972537856.0,1.58158086144e+11,0.0,0.0,45121536.0,3276.800,1224.200,942.400,0.060,0.175,99.660,0.100,0.0,0.005,1494018933.618
0.075,0.265,99.480,0.180,0.0,0.0,67682304.0,11468.800,29320.800,47188839.400,0.0,0.0,1643.200,1290.200,0.0,0.0,0.0,1760509952.0,2412544.0,9309954048.0,1.57707317248e+11,0.0,0.0,67682304.0,11468.800,1643.0,1290.200,0.080,0.265,99.475,0.180,0.0,0.0,1494018938.618
0.080,0.320,99.339,0.260,0.0,0.0,67682304.0,0.0,95225.400,128887779.800,0.0,0.0,2704.400,1410.600,0.200,0.0,0.400,1476349952.0,2412544.0,9648750592.0,1.57652680704e+11,0.0,0.0,67682304.0,0.0,2704.400,1410.600,0.080,0.320,99.339,0.260,0.0,0.0,1494018943.618
